huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus
23,7122ME,197200000498521,197010000498523,False,industriefunctie,474,in gebruik
41,6666WS,1734200000021613,1734010000030415,False,woonfunctie,167,in gebruik
2,1118LK,394200001002147,394010001002187,False,industriefunctie,3900,in gebruik
77,3087BM,599200100008396,599010400008131,False,kantoorfunctie,5876,in gebruik
10,7041GD,1955200000057472,1955010000040956,False,industriefunctie,12068,in gebruik
5,6984AA,221200000326901,221010000326902,False,overige gebruiksfunctie,1496,in gebruik
7,7833HW,114200000372450,114010000372451,False,winkelfunctie,108,ingetrokken
109,6843PP,202200000338752,202010000338753,False,woonfunctie,127,in gebruik
18,6598BL,907200000015013,907010000015013,False,industriefunctie,1600,in gebruik (niet ingemeten)
22,7031BG,222200000632387,222010000632388,False,woonfunctie,366,in gebruik
2,3165AL,613200000152723,613010000152724,False,kantoorfunctie,1112,in gebruik
21,6901JV,299200000421251,299010000421252,False,woonfunctie,151,in gebruik
78,1412JL,425200000008480,425010000007491,False,woonfunctie,190,in gebruik
2,7122NR,197200000037776,197010000000433,False,woonfunctie,233,in gebruik
21,6691CT,1705200000118334,1705010000025948,False,woonfunctie,104,in gebruik
6,7047CA,1955200000052677,1955010000030809,False,woonfunctie,123,in gebruik
19,7031HH,222200000625637,222010000625638,False,woonfunctie,127,in gebruik
4,7041BM,1955200000055375,1955010000028090,False,woonfunctie,166,in gebruik
64,6641AG,209200000011675,209010000011656,False,kantoorfunctie,160,in gebruik
28,6923PE,226200000035702,226010000035703,False,industriefunctie,755,in gebruik
12,6915VJ,196200000347235,196010000347236,False,woonfunctie,115,in gebruik
47,7256AA,1876200000016629,1876010001016629,False,industriefunctie,210,in gebruik
14,6902PR,299200000432802,299010000432803,False,industriefunctie,677,in gebruik
165,7102EN,294200000411093,294010000411094,False,kantoorfunctie,1909,in gebruik
5,6922AA,226200000034223,226010000034224,False,woonfunctie,119,in gebruik
