huisnummer,postcode,nrAanduiding,vblObject,inOnderzoek
41,4001XA,0281200000045291,0281010000045292,False
1,4104BC,0216200000012206,0216010000012206,False
67,5327AB,0263200000108405,0263010000004968,False
1,4152GC,0236200000000223,0236010000000223,False
26,4119LZ,0214200000002199,0214010000002199,False
41,5262GD,0865200000000568,0865010000000324,False
21,5308KD,0297200000000145,0297010000000145,False
10,4104AK,0216200000002439,0216010000002439,False
40,4013CS,0281200000025720,0281010000025721,False
29,4032NA,0214200000531537,0214010000013335,False
8,5321JT,0263200000105504,0263010000002065,False
24,4033BK,0214200000001381,0214010000001381,False
7,4191NX,0236200000023462,0236010000023491,False
31,5301LX,0297200000013012,0297010000013016,False
302,1082ME,0363200000541689,0363010001170861,False
61,3371SX,0523200000004569,0523010000004569,False
9,4191NZ,0236200000003027,0236010000003027,False
3,5311PC,0297200000013643,0297010000013649,False
23,4196AK,0236200000004591,0236010000004591,False
1,4021CL,0214200000003822,0214010000003822,False
20,4051BW,1740200000104590,1740010000016468,False
4,4116CE,0214200000000527,0214010000000527,False
42,4211CC,0733200000006725,0733010000016370,False
46,5317KR,0297200000004142,0297010000004142,False
5,4001CH,0281200000057063,0281010000057064,False
11,3016GM,0599200000843048,0599020000436148,False
7,2952CA,0482200001263958,0482010001255069,False
32,1118LB,0394200001010650,0394010001010132,False
5,4043LZ,1740200000179265,1740010000019774,False
1,4241XS,0689200000001128,0689010000004264,False
10,5928NX,0983200000156129,0983010000156120,False
1,4191HE,0236200000002415,0236010000002415,False
4,4116CE,0214200000000527,0214010000000527,False
9,6669MH,1740200000102037,1740010000016710,False
6,5321JE,0263200000107191,0263010000003784,False
2,6659BP,0668200000009347,0668010000009336,False
19,5222BG,0796200000354966,0796010000354967,False
10,5928PN,0983200000158275,0983010000158261,False
15,5928RC,0983200000155272,0983010000155272,False
244,2142LE,0394200001005742,0394010001005291,False
2,3336LH,0642200000018903,0642010000018903,False
221,5928ND,0983200000074242,0983010000074242,False
2,5928LH,0983200000039379,0983010000039379,False
70,3316BL,0505200000013484,0505010000013484,False
17,5932CS,0983200000087340,0983010000087340,False
3,5801RV,0984200000023909,0984010000304432,False
2,5911JJ,0983200000018179,0983010000018179,False
25,5928PR,0983200000156903,0983010000156890,False
152,5928RH,0983200000157895,0983010000157882,False
10,5862AT,0984200001144364,0984010001114364,False
10,5928NL,0983200000096458,0983010000096458,False
12,5961PX,1507200000002866,1507010000033163,False
20,5928PL,0983200000158456,0983010000158441,False
60,5928PR,0983200000038854,0983010000038854,False
7,3195ND,0599200000451281,0599010000044267,False
11,6121RE,1883200000054795,1883010000054764,False
2,1118LK,0394200001002147,0394010001002187,False
10,5928PN,0983200000158275,0983010000158261,False
163,1075GX,0363200000535967,0363010001171249,False
32,5931BX,0983200000082844,0983010000082844,False
10,5928PN,0983200000158275,0983010000158261,False
8,5964PE,1507200000014558,1507012000026306,False
19,5993SL,1894200000344255,1894010000344263,False
16,5928PL,0983200000036635,0983010000036635,False
4,6598DL,0907200000014412,0907010000014412,False
6,5928LL,0983200000043099,0983010000043099,False
44,7587GA,0168200000229142,0168010000229143,False
6,5916RP,0983200000068773,0983010000068773,False
24,3088KA,0599200000424267,0599010000125751,False
70,1118LB,0394200001010658,0394010001010140,False
304,1017RN,0363200000502011,0363010001020087,False
3,5916LD,0983200000031590,0983010000031590,False
1,5986NT,1894200000310603,1894010000310604,False
23,5928PN,0983200000094236,0983010000094236,False
27,5922ED,0983200000010325,0983010000010325,False
19,5993SL,1894200000344255,1894010000344263,False
19,5993SL,1894200000344255,1894010000344263,False
15,5521DZ,0770200000006406,0770010000003931,False
